Points per enemy kill
+------------------------+--------------+
|         Enemy          | Pts per kill |
+========================+==============+
| Electric Wizzrobe      |            5 |
| Fire Wizzrobe          |            5 |
| Ice Wizzrobe           |            5 |
| Decayed Guardian       |           12 |
| Stone Talus            |           15 |
| Hinox                  |           15 |
| Yiga Blademaster       |           15 |
| Black Bokoblin         |           15 |
| Blizzrobe              |           15 |
| Meteo Wizzrobe         |           15 |
| Thunder Wizzrobe       |           15 |
| Sentry                 |           15 |
| Black Moblin           |           18 |
| Guardian Scout III     |           20 |
| Electric Lizalfos      |           20 |
| Ice-Breath Lizalfos    |           20 |
| Black Lizalfos         |           20 |
| Fire-Breath Lizalfos   |           20 |
| Golden Bokoblin        |           25 |
| Stalnox                |           25 |
| Silver Bokoblin        |           25 |
| Stone Talus (Luminous) |           25 |
| Blue Hinox             |           25 |
| Stone Talus (Rare)     |           30 |
| Igneo Talus            |           35 |
| Golden Moblin          |           35 |
| Guardian Scout IV      |           35 |
| Guardian Turret        |           35 |
| Frost Talus            |           35 |
| Silver Moblin          |           35 |
| Igneo Talus Titan      |           35 |
| Black Hinox            |           35 |
| Silver Lizalfos        |           40 |
| Golden Lizalfos        |           40 |
| Molduking              |           50 |
| Guardian Stalker       |           50 |
| Guardian Skywatcher    |           50 |
| Molduga                |           50 |
| Lynel                  |           50 |
| Blue-Maned Lynel       |           60 |
| White-Maned Lynel      |           80 |
| Master Kohga           |          100 |
| Golden Lynel           |          120 |
| Silver Lynel           |          120 |
| Fireblight Ganon       |          300 |
| Waterblight Ganon      |          300 |
| Thunderblight Ganon    |          300 |
| Windblight Ganon       |          300 |
| Monk Maz Koshia        |          500 |
| Dark Beast Ganon       |          800 |
+------------------------+--------------+

Enemy scaling list
Note: 1 point = 0.014 enemy points
+----------------+-------------------+-------------------+--------------+-------------+
|    Species     |       From        |        To         | Required pts | (enemy pts) |
+================+===================+===================+==============+=============+
| BokoblinSeries | Bokoblin          | Blue Bokoblin     |       285.71 |           4 |
| MoriblinSeries | Moblin            | Blue Moblin       |       785.71 |          11 |
| BokoblinSeries | Blue Bokoblin     | Black Bokoblin    |      1142.86 |          16 |
| AssassinSeries | Yiga Footsoldier  | Yiga Blademaster  |      1142.86 |          16 |
| LizalfosSeries | Lizalfos          | Blue Lizalfos     |      1285.71 |          18 |
| BokoblinSeries | Black Bokoblin    | Silver Bokoblin   |      2285.71 |          32 |
| LizalfosSeries | Blue Lizalfos     | Black Lizalfos    |      2285.71 |          32 |
| MoriblinSeries | Blue Moblin       | Black Moblin      |      2642.86 |          37 |
| LynelSeries    | Lynel             | Blue-Maned Lynel  |      2785.71 |          39 |
| LizalfosSeries | Black Lizalfos    | Silver Lizalfos   |      3714.29 |          52 |
| LynelSeries    | Blue-Maned Lynel  | White-Maned Lynel |      4000.00 |          56 |
| MoriblinSeries | Black Moblin      | Black Moblin      |      4642.86 |          65 |
| LynelSeries    | White-Maned Lynel | Silver Lynel      |      6000.00 |          84 |
+----------------+-------------------+-------------------+--------------+-------------+

Weapon scaling list
Note: 1 point = 0.012 weapon points
+--------------------+------------------------------+-------------------------------+--------------+--------------+
|       Series       |             From             |              To               | Required pts | (weapon pts) |
+====================+==============================+===============================+==============+==============+
| UniqueSeries       | Spring-Loaded Hammer         | Spring-Loaded Hammer ⭐       |        83.33 |            1 |
| UniqueSeries       | Spring-Loaded Hammer ⭐      | Spring-Loaded Hammer ⭐⭐     |       166.67 |            2 |
| UniqueSeries       | Torch                        | Torch ⭐                      |       166.67 |            2 |
| AreaSeries         | Tree Branch                  | Tree Branch ⭐                |       166.67 |            2 |
| AxSeries           | Woodcutter's Axe             | Woodcutter's Axe ⭐           |       166.67 |            2 |
| BokoblinSeries     | Boko Shield                  | Boko Shield ⭐                |       250.00 |            3 |
| UniqueSeries       | Hunter's Shield              | Hunter's Shield ⭐            |       250.00 |            3 |
| UniqueSeries       | Rusty Shield                 | Rusty Shield ⭐               |       250.00 |            3 |
| SouthernSeries     | Fisherman's Shield           | Fisherman's Shield ⭐         |       250.00 |            3 |
| HatenoSeries       | Emblazoned Shield            | Emblazoned Shield ⭐          |       250.00 |            3 |
| AxSeries           | Woodcutter's Axe ⭐          | Woodcutter's Axe ⭐⭐         |       277.78 |         3.33 |
| BokoblinSeries     | Boko Club                    | Boko Club ⭐                  |       333.33 |            4 |
| BokoblinSeries     | Boko Bat                     | Boko Bat ⭐                   |       333.33 |            4 |
| BokoblinSeries     | Boko Spear                   | Boko Spear ⭐                 |       333.33 |            4 |
| BokoblinSeries     | Boko Bow                     | Boko Bow ⭐                   |       333.33 |            4 |
| HyliaSeries        | Traveler's Shield            | Traveler's Shield ⭐          |       333.33 |            4 |
| UniqueSeries       | Torch ⭐                     | Torch ⭐⭐                    |       333.33 |            4 |
| UniqueSeries       | Soup Ladle                   | Soup Ladle ⭐                 |       333.33 |            4 |
| UniqueSeries       | Wooden Bow                   | Wooden Bow ⭐                 |       333.33 |            4 |
| AreaSeries         | Tree Branch ⭐               | Tree Branch ⭐⭐              |       333.33 |            4 |
| HyliaSeries        | Traveler's Sword             | Traveler's Sword ⭐           |       416.67 |            5 |
| HyliaSeries        | Traveler's Bow               | Traveler's Bow ⭐             |       416.67 |            5 |
| FireRodSeries      | Fire Rod                     | Fire Rod ⭐                   |       416.67 |            5 |
| IceRodSeries       | Ice Rod                      | Ice Rod ⭐                    |       416.67 |            5 |
