+-----+---------------------+----------------------------------+-------------+
| Idx |        Area         |             Climate              | Climate idx |
+=====+=====================+==================================+=============+
| 0   | GerudoHighlands     | GerudoFrostClimate               | 17          |
| 1   | WestHateru          | HateruPlainClimate               | 10          |
| 2   | TamulPlateau        | TamourPlainClimate               | 8           |
| 3   | HeburaMountains     | HebraFrostClimate                | 2           |
| 4   | GerudoHighlands     | GerudoPlateauClimate             | 6           |
| 5   | HeburaMountains     | HebraFrostClimate                | 2           |
| 6   | CentralHyrule       | HyrulePlainClimate               | 0           |
| 7   | EldinCanyon         | EldinClimateLv0                  | 7           |
| 8   | HyruleForest        | LostWoodClimate                  | 16          |
| 9   | HeburaMountains     | HebraFrostClimate                | 2           |
| 10  | HyliaLake           | HyrulePlainClimate               | 0           |
| 11  | LanayruWaterSources | HateruPlainClimate               | 10          |
| 12  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 13  | EastHateru          | HateruPlainClimate               | 10          |
| 14  | HyruleForest        | KorogForest                      | 18          |
| 15  | EldinMountains      | NorthHyrulePlainClimate          | 1           |
| 16  | HyruleForest        | NorthHyrulePlainClimate          | 1           |
| 17  | EldinCanyon         | HyrulePlainClimate               | 0           |
| 18  | TabantaFrontier     | TabantaAridClimate               | 3           |
| 19  | WestHateru          | HateruPlainClimate               | 10          |
| 20  | TamulOutback        | TamourPlainClimate               | 8           |
| 21  | GerudoDesert        | GerudoDesertClimateLv2           | 19          |
| 22  | TamulOutback        | TamourPlainClimate               | 8           |
| 23  | TabantaFrontier     | TabantaAridClimate               | 3           |
| 24  | FironeGrassland     | HateruPlainClimate               | 10          |
| 25  | FironeGrassland     | HyrulePlainClimate               | 0           |
| 26  | CentralHyrule       | NorthHyrulePlainClimate          | 1           |
| 27  | TabantaFrontier     | HyrulePlainClimate               | 0           |
| 28  | HateruSea           | SouthHateruHumidTemperateClimate | 12          |
| 29  | FironeGrassland     | FiloneSubtropicalClimate         | 11          |
| 30  | TamulSea            | TamourPlainClimate               | 8           |
| 31  | TabantaFrontier     | HebraFrostClimate                | 2           |
| 32  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 33  | TamulPlateau        | TamourPlainClimate               | 8           |
| 34  | LanayruWaterSources | ZoraTemperateClimate             | 9           |
| 35  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 36  | FironeGrassland     | HateruPlainClimate               | 10          |
| 37  | HeburaMountains     | TabantaAridClimate               | 3           |
| 38  | LiveMountain        | FrostClimate                     | 4           |
| 39  | HeburaMountains     | HebraFrostClimate                | 2           |
| 40  | GerudoDesert        | GerudoDesertClimateLv2           | 19          |
| 41  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 42  | TabantaFrontier     | TabantaAridClimate               | 3           |
| 43  | HateruSea           | HateruPlainClimate               | 10          |
| 44  | DeathMountain       | EldinClimateLv2                  | 14          |
| 45  | GerudoHighlands     | GerudoFrostClimate               | 17          |
| 46  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 47  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 48  | TabantaFrontier     | HebraFrostClimate                | 2           |
| 49  | WestHateru          | HateruPlainClimate               | 10          |
| 50  | CentralHyrule       | HyrulePlainClimate               | 0           |
| 51  | EldinMountains      | EldinClimateLv0                  | 7           |
| 52  | EldinMountains      | NorthHyrulePlainClimate          | 1           |
| 53  | EldinMountains      | EldinClimateLv0                  | 7           |
| 54  | TamulSea            | TamourPlainClimate               | 8           |
| 55  | FironeSea           | HateruPlainClimate               | 10          |
| 56  | TamulPlateau        | ZoraTemperateClimate             | 9           |
| 57  | LanayruSea          | HateruPlainClimate               | 10          |
| 58  | HateruSea           | SouthHateruHumidTemperateClimate | 12          |
| 59  | WestHateru          | FiloneSubtropicalClimate         | 11          |
| 60  | HyruleForest        | NorthHyrulePlainClimate          | 1           |
| 61  | EastHateru          | SouthHateruHumidTemperateClimate | 12          |
| 62  | EastHateru          | SouthHateruHumidTemperateClimate | 12          |
| 63  | HyruleHill          | HyrulePlainClimate               | 0           |
| 64  | HyruleHill          | HyrulePlainClimate               | 0           |
| 65  | LanayruWetlands     | HyrulePlainClimate               | 0           |
| 66  | EldinCanyon         | EldinClimateLv1                  | 13          |
